artist,genre,popularity
South Park,comedy,3132950
Onyx,Hip-Hop,3911294
Poe,female vocalists,4593518
Cornelius,electronic,5313942
Lene Marlin,pop,3618391
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
Desire,doom metal,3245228
The Rembrandts,rock,1747011
Sandra,80s,4059133
Sandra,80s,4059133
Sandra,80s,4059133
Sandra,80s,4059133
Sandra,80s,4059133
Sandra,80s,4059133
Sandra Lauer,80s,4059133
Ben Harper & The Innocent Criminals,rock,3141543
David Arkenstone,new age,4184826
Patty Griffin,folk,4068725
Fu Manchu,Stoner Rock,7839052
Strung Out,punk,7606751
Mase,Hip-Hop,1557692
Soda Stereo,Rock Argentino,13087163
Kill Hannah,alternative,6671256
Average White Band,funk,1894504
Stephen Malkmus,indie,3817119
Hieroglyphics,Hip-Hop,3827113
Modern English,new wave,1785331
Amy Grant,pop,2667921
Sisqó,rnb,1285178
Tal Bachman,pop,1390720
Songs: Ohia,singer-songwriter,7762235
Michel Teló,sertanejo,2985046
Royal Philharmonic Orchestra,Classical,3271119
John Hiatt,singer-songwriter,3046917
Edwyn Collins,rock,2186072
Mylène Farmer,french,13971155
Carl Douglas,Disco,1094003
Five,pop,2437322
Five,pop,2437322
Five,pop,2437322
Biz Markie,Hip-Hop,1541640
Bikini Kill,riot grrrl,5912378
Jars of Clay,christian,5882773
Florida Georgia Line,country,5009791
Clawfinger,crossover,7158125
The Lightning Seeds,britpop,2711208
Beulah,indie,4811376
Beulah,indie,4811376
Corrosion of Conformity,Stoner Rock,6386716
Shirley Horn,jazz,1681550
Adam Sandler,comedy,1896012
David Lee Roth,hard rock,2260705
Slint,post-rock,5462118
Glass Candy,electronic,3579397
Stabbing Westward,industrial,4292799
Del Amitri,rock,2451516
Rose Royce,funk,1353673
Smokey Robinson,soul,1508620
Down,stoner metal,12582134
Al Jarreau,jazz,2584571
Angra,Power metal,13941324
Lee Ann Womack,country,1933156
